label,area,,,,area
482,0.020602172,1.153721635,0.000611457,0.061145718,0.020602172
,,0,0,0,
530,0.020602172,1.174323807,0.000622376,0.062237606,0.020602172
,,0,0,0,
544,0.020602172,1.194925979,0.000633295,0.063329494,0.020602172
,,0,0,0,
582,0.020602172,1.215528151,0.000644214,0.064421381,0.020602172
,,0,0,0,
607,0.020602172,1.236130323,0.000655133,0.065513269,0.020602172
,,0,0,0,
627,0.020602172,1.256732496,0.000666052,0.066605157,0.020602172
,,0,0,0,
650,0.020602172,1.277334668,0.00067697,0.067697045,0.020602172
,,0,0,0,
681,0.020602172,1.29793684,0.000687889,0.068788933,0.020602172
,,0,0,0,
723,0.020602172,1.318539012,0.000698808,0.06988082,0.020602172
,,0,0,0,
726,0.020602172,1.339141184,0.000709727,0.070972708,0.020602172
,,0,0,0,
784,0.020602172,1.359743356,0.000720646,0.072064596,0.020602172
,,0,0,0,
823,0.020602172,1.380345528,0.000731565,0.073156484,0.020602172
,,0,0,0,
824,0.020602172,1.4009477,0.000742484,0.074248372,0.020602172
,,0,0,0,
847,0.020602172,1.421549872,0.000753403,0.07534026,0.020602172
,,0,0,0,
849,0.020602172,1.442152044,0.000764321,0.076432147,0.020602172
,,0,0,0,
865,0.020602172,1.462754216,0.00077524,0.077524035,0.020602172
,,0,0,0,
873,0.020602172,1.483356388,0.000786159,0.078615923,0.020602172
,,0,0,0,
882,0.020602172,1.50395856,0.000797078,0.079707811,0.020602172
,,0,0,0,
917,0.020602172,1.524560732,0.000807997,0.080799699,0.020602172
,,0,0,0,
920,0.020602172,1.545162904,0.000818916,0.081891586,0.020602172
,,0,0,0,
28,0.030903258,1.576066162,0.000835294,0.083529418,0.030903258
,,0,0,0,
65,0.030903258,1.60696942,0.000851672,0.08516725,0.030903258
,,0,0,0,
81,0.030903258,1.637872679,0.000868051,0.086805082,0.030903258
,,0,0,0,
92,0.030903258,1.668775937,0.000884429,0.088442913,0.030903258
,,0,0,0,
99,0.030903258,1.699679195,0.000900807,0.090080745,0.030903258
,,0,0,0,
104,0.030903258,1.730582453,0.000917186,0.091718577,0.030903258
,,0,0,0,
113,0.030903258,1.761485711,0.000933564,0.093356409,0.030903258
,,0,0,0,
132,0.030903258,1.792388969,0.000949942,0.09499424,0.030903258
,,0,0,0,
142,0.030903258,1.823292227,0.000966321,0.096632072,0.030903258
,,0,0,0,
143,0.030903258,1.854195485,0.000982699,0.098269904,0.030903258
,,0,0,0,
217,0.030903258,1.885098743,0.000999077,0.099907735,0.030903258
,,0,0,0,
231,0.030903258,1.916002001,0.001015456,0.101545567,0.030903258
,,0,0,0,
244,0.030903258,1.946905259,0.001031834,0.103183399,0.030903258
,,0,0,0,
247,0.030903258,1.977808518,0.001048212,0.104821231,0.030903258
,,0,0,0,
289,0.030903258,2.008711776,0.001064591,0.106459062,0.030903258
,,0,0,0,
379,0.030903258,2.039615034,0.001080969,0.108096894,0.030903258
,,0,0,0,
397,0.030903258,2.070518292,0.001097347,0.109734726,0.030903258
,,0,0,0,
528,0.030903258,2.10142155,0.001113726,0.111372558,0.030903258
,,0,0,0,
534,0.030903258,2.132324808,0.001130104,0.113010389,0.030903258
,,0,0,0,
564,0.030903258,2.163228066,0.001146482,0.114648221,0.030903258
,,0,0,0,
665,0.030903258,2.194131324,0.001162861,0.116286053,0.030903258
,,0,0,0,
683,0.030903258,2.225034582,0.001179239,0.117923885,0.030903258
,,0,0,0,
703,0.030903258,2.25593784,0.001195617,0.119561716,0.030903258
,,0,0,0,
713,0.030903258,2.286841098,0.001211995,0.121199548,0.030903258
,,0,0,0,
732,0.030903258,2.317744356,0.001228374,0.12283738,0.030903258
,,0,0,0,
741,0.030903258,2.348647615,0.001244752,0.124475211,0.030903258
,,0,0,0,
753,0.030903258,2.379550873,0.00126113,0.126113043,0.030903258
,,0,0,0,
773,0.030903258,2.410454131,0.001277509,0.127750875,0.030903258
,,0,0,0,
789,0.030903258,2.441357389,0.001293887,0.129388707,0.030903258
,,0,0,0,
791,0.030903258,2.472260647,0.001310265,0.131026538,0.030903258
,,0,0,0,
801,0.030903258,2.503163905,0.001326644,0.13266437,0.030903258
,,0,0,0,
1,0.041204344,2.544368249,0.001348481,0.134848146,0.041204344
,,0,0,0,
4,0.041204344,2.585572593,0.001370319,0.137031921,0.041204344
,,0,0,0,
18,0.041204344,2.626776937,0.001392157,0.139215697,0.041204344
,,0,0,0,
21,0.041204344,2.667981281,0.001413995,0.141399473,0.041204344
,,0,0,0,
29,0.041204344,2.709185626,0.001435832,0.143583248,0.041204344
,,0,0,0,
44,0.041204344,2.75038997,0.00145767,0.145767024,0.041204344
,,0,0,0,
49,0.041204344,2.791594314,0.001479508,0.1479508,0.041204344
,,0,0,0,
55,0.041204344,2.832798658,0.001501346,0.150134575,0.041204344
,,0,0,0,
76,0.041204344,2.874003002,0.001523184,0.152318351,0.041204344
,,0,0,0,
89,0.041204344,2.915207346,0.001545021,0.154502126,0.041204344
,,0,0,0,
93,0.041204344,2.95641169,0.001566859,0.156685902,0.041204344
,,0,0,0,
103,0.041204344,2.997616034,0.001588697,0.158869678,0.041204344
,,0,0,0,
110,0.041204344,3.038820378,0.001610535,0.161053453,0.041204344
,,0,0,0,
130,0.041204344,3.080024723,0.001632372,0.163237229,0.041204344
,,0,0,0,
136,0.041204344,3.121229067,0.00165421,0.165421005,0.041204344
,,0,0,0,
148,0.041204344,3.162433411,0.001676048,0.16760478,0.041204344
,,0,0,0,
149,0.041204344,3.203637755,0.001697886,0.169788556,0.041204344
,,0,0,0,
153,0.041204344,3.244842099,0.001719723,0.171972332,0.041204344
,,0,0,0,
159,0.041204344,3.286046443,0.001741561,0.174156107,0.041204344
,,0,0,0,
161,0.041204344,3.327250787,0.001763399,0.176339883,0.041204344
,,0,0,0,
167,0.041204344,3.368455131,0.001785237,0.178523658,0.041204344
,,0,0,0,
170,0.041204344,3.409659476,0.001807074,0.180707434,0.041204344
,,0,0,0,
172,0.041204344,3.45086382,0.001828912,0.18289121,0.041204344
,,0,0,0,
182,0.041204344,3.492068164,0.00185075,0.185074985,0.041204344
,,0,0,0,
185,0.041204344,3.533272508,0.001872588,0.187258761,0.041204344
,,0,0,0,
186,0.041204344,3.574476852,0.001894425,0.189442537,0.041204344
,,0,0,0,
187,0.041204344,3.615681196,0.001916263,0.191626312,0.041204344
,,0,0,0,
192,0.041204344,3.65688554,0.001938101,0.193810088,0.041204344
,,0,0,0,
203,0.041204344,3.698089884,0.001959939,0.195993864,0.041204344
,,0,0,0,
205,0.041204344,3.739294228,0.001981776,0.198177639,0.041204344
,,0,0,0,
255,0.041204344,3.780498573,0.002003614,0.200361415,0.041204344
,,0,0,0,
268,0.041204344,3.821702917,0.002025452,0.202545191,0.041204344
,,0,0,0,
269,0.041204344,3.862907261,0.00204729,0.204728966,0.041204344
,,0,0,0,
277,0.041204344,3.904111605,0.002069127,0.206912742,0.041204344
,,0,0,0,
279,0.041204344,3.945315949,0.002090965,0.209096517,0.041204344
,,0,0,0,
282,0.041204344,3.986520293,0.002112803,0.211280293,0.041204344
,,0,0,0,
283,0.041204344,4.027724637,0.002134641,0.213464069,0.041204344
,,0,0,0,
317,0.041204344,4.068928981,0.002156478,0.215647844,0.041204344
,,0,0,0,
326,0.041204344,4.110133325,0.002178316,0.21783162,0.041204344
,,0,0,0,
333,0.041204344,4.15133767,0.002200154,0.220015396,0.041204344
,,0,0,0,
341,0.041204344,4.192542014,0.002221992,0.222199171,0.041204344
,,0,0,0,
359,0.041204344,4.233746358,0.002243829,0.224382947,0.041204344
,,0,0,0,
361,0.041204344,4.274950702,0.002265667,0.226566723,0.041204344
,,0,0,0,
363,0.041204344,4.316155046,0.002287505,0.228750498,0.041204344
,,0,0,0,
380,0.041204344,4.35735939,0.002309343,0.230934274,0.041204344
,,0,0,0,
409,0.041204344,4.398563734,0.00233118,0.233118049,0.041204344
,,0,0,0,
411,0.041204344,4.439768078,0.002353018,0.235301825,0.041204344
,,0,0,0,
413,0.041204344,4.480972423,0.002374856,0.237485601,0.041204344
,,0,0,0,
414,0.041204344,4.522176767,0.002396694,0.239669376,0.041204344
,,0,0,0,
415,0.041204344,4.563381111,0.002418532,0.241853152,0.041204344
,,0,0,0,
417,0.041204344,4.604585455,0.002440369,0.244036928,0.041204344
,,0,0,0,
422,0.041204344,4.645789799,0.002462207,0.246220703,0.041204344
,,0,0,0,
460,0.041204344,4.686994143,0.002484045,0.248404479,0.041204344
,,0,0,0,
488,0.041204344,4.728198487,0.002505883,0.250588255,0.041204344
,,0,0,0,
495,0.041204344,4.769402831,0.00252772,0.25277203,0.041204344
,,0,0,0,
499,0.041204344,4.810607175,0.002549558,0.254955806,0.041204344
,,0,0,0,
508,0.041204344,4.85181152,0.002571396,0.257139581,0.041204344
,,0,0,0,
512,0.041204344,4.893015864,0.002593234,0.259323357,0.041204344
,,0,0,0,
516,0.041204344,4.934220208,0.002615071,0.261507133,0.041204344
,,0,0,0,
529,0.041204344,4.975424552,0.002636909,0.263690908,0.041204344
,,0,0,0,
532,0.041204344,5.016628896,0.002658747,0.265874684,0.041204344
,,0,0,0,
539,0.041204344,5.05783324,0.002680585,0.26805846,0.041204344
,,0,0,0,
552,0.041204344,5.099037584,0.002702422,0.270242235,0.041204344
,,0,0,0,
555,0.041204344,5.140241928,0.00272426,0.272426011,0.041204344
,,0,0,0,
569,0.041204344,5.181446272,0.002746098,0.274609787,0.041204344
,,0,0,0,
589,0.041204344,5.222650617,0.002767936,0.276793562,0.041204344
,,0,0,0,
659,0.041204344,5.263854961,0.002789773,0.278977338,0.041204344
,,0,0,0,
678,0.041204344,5.305059305,0.002811611,0.281161114,0.041204344
,,0,0,0,
692,0.041204344,5.346263649,0.002833449,0.283344889,0.041204344
,,0,0,0,
697,0.041204344,5.387467993,0.002855287,0.285528665,0.041204344
,,0,0,0,
700,0.041204344,5.428672337,0.002877124,0.28771244,0.041204344
,,0,0,0,
702,0.041204344,5.469876681,0.002898962,0.289896216,0.041204344
,,0,0,0,
706,0.041204344,5.511081025,0.0029208,0.292079992,0.041204344
,,0,0,0,
737,0.041204344,5.55228537,0.002942638,0.294263767,0.041204344
,,0,0,0,
758,0.041204344,5.593489714,0.002964475,0.296447543,0.041204344
,,0,0,0,
767,0.041204344,5.634694058,0.002986313,0.298631319,0.041204344
,,0,0,0,
779,0.041204344,5.675898402,0.003008151,0.300815094,0.041204344
,,0,0,0,
780,0.041204344,5.717102746,0.003029989,0.30299887,0.041204344
,,0,0,0,
793,0.041204344,5.75830709,0.003051826,0.305182646,0.041204344
,,0,0,0,
796,0.041204344,5.799511434,0.003073664,0.307366421,0.041204344
,,0,0,0,
817,0.041204344,5.840715778,0.003095502,0.309550197,0.041204344
,,0,0,0,
822,0.041204344,5.881920122,0.00311734,0.311733972,0.041204344
,,0,0,0,
843,0.041204344,5.923124467,0.003139177,0.313917748,0.041204344
,,0,0,0,
854,0.041204344,5.964328811,0.003161015,0.316101524,0.041204344
,,0,0,0,
860,0.041204344,6.005533155,0.003182853,0.318285299,0.041204344
,,0,0,0,
867,0.041204344,6.046737499,0.003204691,0.320469075,0.041204344
,,0,0,0,
870,0.041204344,6.087941843,0.003226529,0.322652851,0.041204344
,,0,0,0,
895,0.041204344,6.129146187,0.003248366,0.324836626,0.041204344
,,0,0,0,
901,0.041204344,6.170350531,0.003270204,0.327020402,0.041204344
,,0,0,0,
913,0.041204344,6.211554875,0.003292042,0.329204178,0.041204344
,,0,0,0,
918,0.041204344,6.252759219,0.00331388,0.331387953,0.041204344
,,0,0,0,
2,0.05150543,6.30426465,0.003341177,0.334117673,0.05150543
,,0,0,0,
10,0.05150543,6.35577008,0.003368474,0.336847392,0.05150543
,,0,0,0,
20,0.05150543,6.40727551,0.003395771,0.339577112,0.05150543
,,0,0,0,
24,0.05150543,6.45878094,0.003423068,0.342306831,0.05150543
,,0,0,0,
30,0.05150543,6.51028637,0.003450366,0.345036551,0.05150543
,,0,0,0,
35,0.05150543,6.5617918,0.003477663,0.34776627,0.05150543
,,0,0,0,
58,0.05150543,6.61329723,0.00350496,0.35049599,0.05150543
,,0,0,0,
86,0.05150543,6.664802661,0.003532257,0.35322571,0.05150543
,,0,0,0,
87,0.05150543,6.716308091,0.003559554,0.355955429,0.05150543
,,0,0,0,
107,0.05150543,6.767813521,0.003586851,0.358685149,0.05150543
,,0,0,0,
111,0.05150543,6.819318951,0.003614149,0.361414868,0.05150543
,,0,0,0,
152,0.05150543,6.870824381,0.003641446,0.364144588,0.05150543
,,0,0,0,
166,0.05150543,6.922329811,0.003668743,0.366874307,0.05150543
,,0,0,0,
169,0.05150543,6.973835241,0.00369604,0.369604027,0.05150543
,,0,0,0,
178,0.05150543,7.025340672,0.003723337,0.372333746,0.05150543
,,0,0,0,
195,0.05150543,7.076846102,0.003750635,0.375063466,0.05150543
,,0,0,0,
206,0.05150543,7.128351532,0.003777932,0.377793186,0.05150543
,,0,0,0,
210,0.05150543,7.179856962,0.003805229,0.380522905,0.05150543
,,0,0,0,
214,0.05150543,7.231362392,0.003832526,0.383252625,0.05150543
,,0,0,0,
223,0.05150543,7.282867822,0.003859823,0.385982344,0.05150543
,,0,0,0,
260,0.05150543,7.334373252,0.003887121,0.388712064,0.05150543
,,0,0,0,
267,0.05150543,7.385878683,0.003914418,0.391441783,0.05150543
,,0,0,0,
276,0.05150543,7.437384113,0.003941715,0.394171503,0.05150543
,,0,0,0,
295,0.05150543,7.488889543,0.003969012,0.396901222,0.05150543
,,0,0,0,
329,0.05150543,7.540394973,0.003996309,0.399630942,0.05150543
,,0,0,0,
340,0.05150543,7.591900403,0.004023607,0.402360661,0.05150543
,,0,0,0,
376,0.05150543,7.643405833,0.004050904,0.405090381,0.05150543
,,0,0,0,
395,0.05150543,7.694911264,0.004078201,0.407820101,0.05150543
,,0,0,0,
407,0.05150543,7.746416694,0.004105498,0.41054982,0.05150543
,,0,0,0,
435,0.05150543,7.797922124,0.004132795,0.41327954,0.05150543
,,0,0,0,
440,0.05150543,7.849427554,0.004160093,0.416009259,0.05150543
,,0,0,0,
443,0.05150543,7.900932984,0.00418739,0.418738979,0.05150543
,,0,0,0,
469,0.05150543,7.952438414,0.004214687,0.421468698,0.05150543
