label,area,,,,area
,,0,0,0,
591,0.086123743,4.693743971,0.000755779,0.075577928,0.086123743
,,0,0,0,
593,0.086123743,4.779867714,0.000769647,0.076964679,0.086123743
,,0,0,0,
596,0.086123743,4.865991457,0.000783514,0.07835143,0.086123743
,,0,0,0,
604,0.086123743,4.952115199,0.000797382,0.079738181,0.086123743
,,0,0,0,
610,0.086123743,5.038238942,0.000811249,0.081124932,0.086123743
,,0,0,0,
620,0.086123743,5.124362684,0.000825117,0.082511683,0.086123743
,,0,0,0,
633,0.086123743,5.210486427,0.000838984,0.083898434,0.086123743
,,0,0,0,
635,0.086123743,5.296610169,0.000852852,0.085285185,0.086123743
,,0,0,0,
657,0.086123743,5.382733912,0.000866719,0.086671936,0.086123743
,,0,0,0,
664,0.086123743,5.468857655,0.000880587,0.088058687,0.086123743
,,0,0,0,
671,0.086123743,5.554981397,0.000894454,0.089445438,0.086123743
,,0,0,0,
674,0.086123743,5.64110514,0.000908322,0.090832189,0.086123743
,,0,0,0,
684,0.086123743,5.727228882,0.000922189,0.09221894,0.086123743
,,0,0,0,
695,0.086123743,5.813352625,0.000936057,0.093605691,0.086123743
,,0,0,0,
699,0.086123743,5.899476368,0.000949924,0.094992442,0.086123743
,,0,0,0,
700,0.086123743,5.98560011,0.000963792,0.096379193,0.086123743
,,0,0,0,
701,0.086123743,6.071723853,0.000977659,0.097765944,0.086123743
,,0,0,0,
707,0.086123743,6.157847595,0.000991527,0.099152695,0.086123743
,,0,0,0,
727,0.086123743,6.243971338,0.001005394,0.100539446,0.086123743
,,0,0,0,
729,0.086123743,6.330095081,0.001019262,0.101926197,0.086123743
,,0,0,0,
736,0.086123743,6.416218823,0.001033129,0.103312948,0.086123743
,,0,0,0,
747,0.086123743,6.502342566,0.001046997,0.104699699,0.086123743
,,0,0,0,
752,0.086123743,6.588466308,0.001060865,0.10608645,0.086123743
,,0,0,0,
753,0.086123743,6.674590051,0.001074732,0.107473201,0.086123743
,,0,0,0,
757,0.086123743,6.760713794,0.0010886,0.108859952,0.086123743
,,0,0,0,
785,0.086123743,6.846837536,0.001102467,0.110246703,0.086123743
,,0,0,0,
788,0.086123743,6.932961279,0.001116335,0.111633454,0.086123743
,,0,0,0,
794,0.086123743,7.019085021,0.001130202,0.113020205,0.086123743
,,0,0,0,
798,0.086123743,7.105208764,0.00114407,0.114406956,0.086123743
,,0,0,0,
808,0.086123743,7.191332507,0.001157937,0.115793707,0.086123743
,,0,0,0,
854,0.086123743,7.277456249,0.001171805,0.117180458,0.086123743
,,0,0,0,
878,0.086123743,7.363579992,0.001185672,0.118567209,0.086123743
,,0,0,0,
881,0.086123743,7.449703734,0.00119954,0.11995396,0.086123743
,,0,0,0,
901,0.086123743,7.535827477,0.001213407,0.121340711,0.086123743
,,0,0,0,
919,0.086123743,7.62195122,0.001227275,0.122727462,0.086123743
,,0,0,0,
937,0.086123743,7.708074962,0.001241142,0.124114213,0.086123743
,,0,0,0,
943,0.086123743,7.794198705,0.00125501,0.125500964,0.086123743
,,0,0,0,
946,0.086123743,7.880322447,0.001268877,0.126887715,0.086123743
,,0,0,0,
961,0.086123743,7.96644619,0.001282745,0.128274466,0.086123743
,,0,0,0,
969,0.086123743,8.052569932,0.001296612,0.129661217,0.086123743
,,0,0,0,
984,0.086123743,8.138693675,0.00131048,0.131047968,0.086123743
,,0,0,0,
985,0.086123743,8.224817418,0.001324347,0.132434719,0.086123743
,,0,0,0,
997,0.086123743,8.31094116,0.001338215,0.13382147,0.086123743
,,0,0,0,
1005,0.086123743,8.397064903,0.001352082,0.135208221,0.086123743
,,0,0,0,
1054,0.086123743,8.483188645,0.00136595,0.136594972,0.086123743
,,0,0,0,
1103,0.086123743,8.569312388,0.001379817,0.137981723,0.086123743
,,0,0,0,
1104,0.086123743,8.655436131,0.001393685,0.139368474,0.086123743
,,0,0,0,
1127,0.086123743,8.741559873,0.001407552,0.140755225,0.086123743
,,0,0,0,
1135,0.086123743,8.827683616,0.00142142,0.142141976,0.086123743
,,0,0,0,
1153,0.086123743,8.913807358,0.001435287,0.143528727,0.086123743
,,0,0,0,
1161,0.086123743,8.999931101,0.001449155,0.144915478,0.086123743
,,0,0,0,
1167,0.086123743,9.086054844,0.001463022,0.146302229,0.086123743
,,0,0,0,
1171,0.086123743,9.172178586,0.00147689,0.147688979,0.086123743
,,0,0,0,
1172,0.086123743,9.258302329,0.001490757,0.14907573,0.086123743
,,0,0,0,
1191,0.086123743,9.344426071,0.001504625,0.150462481,0.086123743
,,0,0,0,
1208,0.086123743,9.430549814,0.001518492,0.151849232,0.086123743
,,0,0,0,
1229,0.086123743,9.516673557,0.00153236,0.153235983,0.086123743
,,0,0,0,
1240,0.086123743,9.602797299,0.001546227,0.154622734,0.086123743
,,0,0,0,
1249,0.086123743,9.688921042,0.001560095,0.156009485,0.086123743
,,0,0,0,
12,0.129185614,9.818106656,0.001580896,0.158089612,0.129185614
,,0,0,0,
41,0.129185614,9.94729227,0.001601697,0.160169738,0.129185614
,,0,0,0,
64,0.129185614,10.07647788,0.001622499,0.162249865,0.129185614
,,0,0,0,
73,0.129185614,10.2056635,0.0016433,0.164329991,0.129185614
,,0,0,0,
126,0.129185614,10.33484911,0.001664101,0.166410118,0.129185614
,,0,0,0,
132,0.129185614,10.46403473,0.001684902,0.168490244,0.129185614
,,0,0,0,
151,0.129185614,10.59322034,0.001705704,0.170570371,0.129185614
,,0,0,0,
183,0.129185614,10.72240595,0.001726505,0.172650497,0.129185614
,,0,0,0,
219,0.129185614,10.85159157,0.001747306,0.174730624,0.129185614
,,0,0,0,
229,0.129185614,10.98077718,0.001768108,0.17681075,0.129185614
,,0,0,0,
239,0.129185614,11.10996279,0.001788909,0.178890877,0.129185614
,,0,0,0,
249,0.129185614,11.23914841,0.00180971,0.180971003,0.129185614
,,0,0,0,
284,0.129185614,11.36833402,0.001830511,0.18305113,0.129185614
,,0,0,0,
288,0.129185614,11.49751964,0.001851313,0.185131256,0.129185614
,,0,0,0,
301,0.129185614,11.62670525,0.001872114,0.187211382,0.129185614
,,0,0,0,
314,0.129185614,11.75589086,0.001892915,0.189291509,0.129185614
,,0,0,0,
339,0.129185614,11.88507648,0.001913716,0.191371635,0.129185614
,,0,0,0,
372,0.129185614,12.01426209,0.001934518,0.193451762,0.129185614
,,0,0,0,
427,0.129185614,12.14344771,0.001955319,0.195531888,0.129185614
,,0,0,0,
441,0.129185614,12.27263332,0.00197612,0.197612015,0.129185614
,,0,0,0,
542,0.129185614,12.40181893,0.001996921,0.199692141,0.129185614
,,0,0,0,
563,0.129185614,12.53100455,0.002017723,0.201772268,0.129185614
,,0,0,0,
569,0.129185614,12.66019016,0.002038524,0.203852394,0.129185614
,,0,0,0,
598,0.129185614,12.78937578,0.002059325,0.205932521,0.129185614
,,0,0,0,
609,0.129185614,12.91856139,0.002080126,0.208012647,0.129185614
,,0,0,0,
624,0.129185614,13.047747,0.002100928,0.210092774,0.129185614
,,0,0,0,
629,0.129185614,13.17693262,0.002121729,0.2121729,0.129185614
,,0,0,0,
690,0.129185614,13.30611823,0.00214253,0.214253027,0.129185614
,,0,0,0,
697,0.129185614,13.43530384,0.002163332,0.216333153,0.129185614
,,0,0,0,
739,0.129185614,13.56448946,0.002184133,0.21841328,0.129185614
,,0,0,0,
781,0.129185614,13.69367507,0.002204934,0.220493406,0.129185614
,,0,0,0,
802,0.129185614,13.82286069,0.002225735,0.222573532,0.129185614
,,0,0,0,
803,0.129185614,13.9520463,0.002246537,0.224653659,0.129185614
,,0,0,0,
804,0.129185614,14.08123191,0.002267338,0.226733785,0.129185614
,,0,0,0,
843,0.129185614,14.21041753,0.002288139,0.228813912,0.129185614
,,0,0,0,
865,0.129185614,14.33960314,0.00230894,0.230894038,0.129185614
,,0,0,0,
871,0.129185614,14.46878876,0.002329742,0.232974165,0.129185614
,,0,0,0,
917,0.129185614,14.59797437,0.002350543,0.235054291,0.129185614
,,0,0,0,
963,0.129185614,14.72715998,0.002371344,0.237134418,0.129185614
,,0,0,0,
974,0.129185614,14.8563456,0.002392145,0.239214544,0.129185614
,,0,0,0,
978,0.129185614,14.98553121,0.002412947,0.241294671,0.129185614
,,0,0,0,
1012,0.129185614,15.11471683,0.002433748,0.243374797,0.129185614
,,0,0,0,
1022,0.129185614,15.24390244,0.002454549,0.245454924,0.129185614
,,0,0,0,
1031,0.129185614,15.37308805,0.002475351,0.24753505,0.129185614
,,0,0,0,
1035,0.129185614,15.50227367,0.002496152,0.249615177,0.129185614
,,0,0,0,
1056,0.129185614,15.63145928,0.002516953,0.251695303,0.129185614
,,0,0,0,
1073,0.129185614,15.76064489,0.002537754,0.25377543,0.129185614
,,0,0,0,
1079,0.129185614,15.88983051,0.002558556,0.255855556,0.129185614
,,0,0,0,
1081,0.129185614,16.01901612,0.002579357,0.257935682,0.129185614
,,0,0,0,
1106,0.129185614,16.14820174,0.002600158,0.260015809,0.129185614
,,0,0,0,
1119,0.129185614,16.27738735,0.002620959,0.262095935,0.129185614
,,0,0,0,
1130,0.129185614,16.40657296,0.002641761,0.264176062,0.129185614
,,0,0,0,
1136,0.129185614,16.53575858,0.002662562,0.266256188,0.129185614
,,0,0,0,
1155,0.129185614,16.66494419,0.002683363,0.268336315,0.129185614
,,0,0,0,
1228,0.129185614,16.79412981,0.002704164,0.270416441,0.129185614
,,0,0,0,
1233,0.129185614,16.92331542,0.002724966,0.272496568,0.129185614
,,0,0,0,
1255,0.129185614,17.05250103,0.002745767,0.274576694,0.129185614
,,0,0,0,
2,0.172247485,17.22474852,0.002773502,0.277350196,0.172247485
,,0,0,0,
8,0.172247485,17.396996,0.002801237,0.280123698,0.172247485
,,0,0,0,
23,0.172247485,17.56924349,0.002828972,0.2828972,0.172247485
,,0,0,0,
